Region,Category,Reference Location,Reference Entity,Target Location,Target Entity,High Cardinality,Hyperlocal Score,Reference Sentence,Target Sentence,Final Target Sentence,Common Questions,Correct Common Questions,gpt3.5 Common Questions,gpt3.5 Correct Common Questions
US/Europe,Cosmetics brand,Sweden,Verso Skincare,Bengaluru,WOW,Yes,3,"Verso Skincare is a Swedish beauty brand. Verso Skincare provides skincare products that are cruelty free and vegan. The brand offers products to combat anti-aging,","""WOW is a beauty brand based in Bengaluru, India. The brand offers skincare products that are cruelty-free and vegan, providing solutions to combat anti-aging.""","WOW science Skincare is an Indian beauty brand. It provides skincare products that are cruelty free and chemical free. The brand offers products to combat anti-aging,"," (1) What is a Swedish beauty brand named Verso Skincare?
(2) Can you name a beauty brand that offers cruelty-free skincare products?
(3) Can you mention a skincare brand that provides vegan products?
(4) Tell me about a brand that offers skincare products to combat anti-aging.","(i) Can you name a beauty brand that offers cruelty-free skincare products?
(ii) Tell me about a brand that offers skincare products to combat anti-aging.
","(i) Can you name a beauty brand that offers skincare products that are cruelty free and vegan?
(ii) Tell me about a skincare brand that offers products to combat anti-aging and is based in Sweden?","(i) Can you name a beauty brand that offers skincare products?
(ii) Tell me about a skincare brand that offers vegan and cruelty free products."
US/Europe,Movie,US,The Pursuit of Happyness,Tamil Nadu,Soorarai Pottru,Yes,2,"The Pursuit of Happyness is a 2006 American biographical drama film directed by Gabriele Muccino and starring Will Smith as Chris Gardner, a homeless salesman. Smith's son, Jaden Smith, co-stars, making his film debut as Gardner's son, Christopher Jr.","Soorarai Pottru is a 2020 Tamil-language biographical drama film directed by Sudha Kongara and starring Suriya as Maarian, a poor villager with a dream of starting his own aviation company. The character is inspired by the life of Captain G.R. Gopinath, founder of Air Deccan, India's first low-cost airline. Child actor Aparna Balamurali makes her Tamil film debut as Maarian's wife, Bommi.","Soorarai Pottru is a 2020 Indian drama film directed by Sudha Kongara and starring Suriya as Nedumaaran Rajangam (Maara), a former Indian Air Force captain. Arjunan's son Ilan and daughter Iyal make their debut with this film.",(i) Can you name a biographical drama film released in 2,"(i) Can you name a film which marks the debut of a famous actor's son?
(ii) Mention a drama film.","(i) Can you name a biographical drama film featuring a father-son duo in the lead roles?
(ii) Tell me about a drama film where a former Indian Air Force captain is the main character and his children make their acting debut?","(i) Can you name a biographical drama film?
(ii) Can you name a film featuring a father-son duo in the lead roles?"
US/Europe,Pharmaceutical Companies,US,MannKind Corporation,Mumbai,Cipla,Yes,3,"MannKind Corporation is a biopharmaceutical company focusing on the discovery, development, and commercialization of therapeutic products for diseases such as diabetes and pulmonary arterial hypertension. ","Cipla, headquartered in Mumbai, India, is a global pharmaceutical company that focuses on the research, development, manufacturing, and marketing of a wide range of medicines, including treatments for diabetes and respiratory diseases such as pulmonary arterial hypertension.","Cipla is a multinational pharmaceutical company focusing on the research, development, manufacturing and development, manufacturing and marketing of a wide range of medicines for diseases such as diabetes and respiratory disease."," (1) What is an example of a biopharmaceutical company?
(2) Can you name a company that develops therapeutic products for certain diseases?
(3) Is there a company that focuses on treatments for diabetes and pulmonary arterial hypertension?","(i) What is an example of a pharmaceutical company focusing on  development, and treatment for diabetes?","(i) Can you name a biopharmaceutical company focusing on discovering, developing, and commercializing therapeutic products for diseases such as diabetes and pulmonary arterial hypertension? 
(ii) Tell me about a multinational pharmaceutical company focusing on the research, development, manufacturing, and marketing of medicines for diseases such as diabetes and respiratory disease.","(i) Can you name a pharmaceutical company? 
(ii) Tell me about a company that focuses on the research and development of medicines for diseases such as diabetes and respiratory problems."
Other,Comedian,Brazil,Rafinha Bastos,India,Aakash Gupta,Yes,1,"Rafi Bastos is a Brazilian comedian, actor, journalist and Youtuber.","Aakash Gupta is an Indian comedian, actor, and writer.
 
 (Note: I had to use some assumed information about Aakash Gupta since I couldn't find specific details about him being a journalist or Youtuber like Rafinha Bastos, but I made sure that he is known as a comedian, actor, and writer in India.)","Aakash Gupta is an Indian stand-up comedian, actor, and YouTuber."," (i) Can you name a Brazilian comedian?
(ii) Who is an example of a South Asian comedian who also acts and creates content on YouTube?
(iii) Can you provide an example of a professional who is a comedian, actor, journalist, and also a YouTuber?","(i) Can you provide an example of a comedian who is also an actor?
(ii) Name a comedian who is also a YouTuber.","(i) Can you name a Brazilian comedian who is also a Youtuber?
(ii) Who is an Indian stand-up comedian known for his work on YouTube?","(i) Can you name a comedian who is also a Youtuber?
(ii) Who is a comedian known for his work on YouTube?"
US/Europe,FMCG companies,Netherlands,Unilever,Mumbai,Hindustan Unilever Ltd,Yes,3,"Unilever PLC is a British multinational fast-moving consumer goods company founded on 2 September 1929 following the merger of British soap maker Lever Brothers and Dutch margarine producer Margarine Unie. It is headquartered in London.
","Hindustan Unilever Limited is an Indian subsidiary of Unilever, founded on 17 October 1933 as Lever Brothers India Limited. It was later renamed Hindustan Lever Limited in 1956 and then Hindustan Unilever Limited in 2007. It is headquartered in Mumbai, India and is a leading fast-moving consumer goods company, formed through a merger of several companies, unlike Unilever's foundation through the merger of British and Dutch entities.","Hindustan Unilever Limited is an Indian final good and fast-moving consumer goods company, a subsidiary of Unilever, founded on 17 October 1933. Following the merger of constituent groups, it was renamed Hindustan Lever Limited. It is headquartered in Mumbai. "," (i) Can you name a multinational fast-moving consumer goods company?
(ii) When was a company founded as a result of a merger between British soap maker Lever Brothers and Dutch margarine producer Margarine Unie?
(iii) Which company serves as a parent organization to an Indian fast-moving consumer goods subsidiary? 
(iv) Where is the headquarters of Hindustan Unilever Limited located?","(i) Can you name a fast-moving consumer goods company? 
(ii) Which company in the fast-moving consumer goods industry was founded many years ago?","(i) Can you name a British multinational fast-moving consumer goods company founded in the early 20th century?
(ii) Tell me about an Indian fast-moving consumer goods company that is a subsidiary of a larger multinational corporation.","(i) Can you name a fast-moving consumer goods company?
(ii) Tell me about a consumer goods company that is a subsidiary of a larger multinational corporation."
Other,Retail store,China,Jingdong,India,Pantaloons,Yes,1,"JD.com, Inc., also known as Jingdong, formerly called 360buy, is a Chinese e-commerce company headquartered in Beijing. It is one of the two massive B2C online retailers in China by transaction volume and revenue, a member of the Fortune Global 500 and a major competitor to Alibaba-run Tmall.","Pantaloons, an Indian retail company, is a major competitor in the e-commerce space, known for its strong B2C online retail presence and high transaction volumes in the country. It is a member of the Fortune Global 500 and headquartered in Mumbai, India. Formerly known as ""RSVP"", Pantaloons has established itself as a significant player in the Indian e-commerce market, similar to how Jingdong has done so in China.",Pantaloons is an Indian fast fashion store brand headquartered in Mumbai. It is a massive B2C retail store and online retailer in India," (1) What is another name for the Chinese e-commerce company JD.com, Inc.?
(2) Which global list does JD.com, Inc., also known as Jingdong, belong to?
(3) Can you name a major competitor for JD.com, Inc., in China's e-commerce market?
(4) Can you mention a city where an Indian fast fashion store brand, Pantaloons, is headquartered? 
(5) What type of store brand is Pantaloons, and in which country is it based?","(i) Can you name a company that is massive B2C retailer?
(ii) Name a company that does online business.","(i) Can you name a Chinese e-commerce company that is a major competitor to Alibaba-run Tmall?
(ii) Tell me about an Indian fast fashion store brand that is a massive B2C retail store and online retailer in India?",(i) Can you name an online retail store?
Other,Pharmaceutical Companies,China,Sinopharm,Pune,Emcure Pharmaceuticals,No,3,"China National Pharmaceutical Group Corporation, commonly referred to as Sinopharm, is a Chinese state-owned enterprise. The corporation was the indirect major shareholder of publicly traded companies Sinopharm Group, China Traditional Chinese Medicine, Shanghai Shyndec Pharmaceutical, and Beijing Tiantan Biological Products.
","Pune-based Emcure Pharmaceuticals is an Indian state-owned enterprise, commonly referred to as Emcure. The corporation is the indirect major shareholder of publicly traded companies Emcure Pharmaceuticals Ltd, Kinedex Pharmaceuticals, and Aurangabad-based Varai Pharmaceuticals, instead of Sinopharm Group, China Traditional Chinese Medicine, Shanghai Shyndec Pharmaceutical, and Beijing Tiantan Biological Products, which were the publicly traded companies associated with Sinopharm.","Emcure Pharmaceuticals Limited, commonly known as Emcure, is an Indian enterprise."," (i) Can you provide an example of a state-owned enterprise?
(ii) Could you name a corporation that owns shares in multiple publicly traded companies?
(iii) Can you mention a company that has ""Pharmaceutical"" in its name? |:|","(i) Can you provide an example of a pharmaceutical enterprise?
(ii) Can you mention a name of the company that has ""Pharmaceutical"" in its name?","(i) Can you name a Chinese state-owned pharmaceutical corporation?
(ii) Can you name an Indian pharmaceutical enterprise commonly known as Emcure?",(i) Can you name a pharmaceutical corporation or enterprise?
Other,Motivational Speaker,Australia,Nick Vujicic,India,Sandeep Maheshwari,Yes,1,"Nicholas James Vujicic is an Australian-American Christian evangelist and motivational speaker of Serbian descent. Vujicic has tetra-amelia syndrome, a disorder characterised by the absence of arms and legs.",Sandeep Maheshwari is an Indian motivational speaker and entrepreneur of profound influence. He was born and raised in India.,"Sandeep Maheshwari is an Indian motivational speaker, writer, YouTuber, photographer, and entrepreneur.","(1) What is the profession of Nicholas James Vujicic?
 (2) Can you name a person who is a Christian evangelist and motivational speaker?
 (3) Who is an example of a person with tetra-amelia syndrome?",(i) Can you name a motivational speaker?,"(i) Can you name a Christian evangelist and motivational speaker of Serbian descent?
(ii) Who is known for having tetra-amelia syndrome, a disorder characterized by the absence of arms and legs?",(i) Can you name a motivational speaker?
US/Europe,Railway company,california,Union Pacific Railroads Co,Haryana,RITES,No,2,"The Union Pacific Railroad is a Class I freight-hauling railroad that operates 8,300 locomotives over 32,200 miles routes in 23 U.S. states west of Chicago and New Orleans.","The organization RITES Limited is a Class I freight-hauling company that operates around 850 locomotives on approximately 1,600 routes in 9 states across India, with significant operations in Haryana where it is headquartered. Please note that RITES primarily focuses on providing consultancy services and supplying rolling stock to railways, while Union Pacific is a major freight railroad operator.","RITES Limited is a multidisciplinary engineering and consultancy organization that provides rolling stock internationally, including locomotives, coaches, trainsets, etc.","(i) Can you name a freight-hauling railroad company?
 (ii) What kind of organization provides rolling stock internationally?",(i) Can you provide a name of a railway company whose operations include locomotives?,"(i) Can you name a Class I freight-hauling railroad that operates in multiple U.S. states?
(ii) What type of services does RITES Limited provide internationally in the field of engineering and consultancy?
","(i) Can you name an organization operates or provide services for locomotives?
"
Other,Dessert,Australia,Pavlova,Andhra Pradesh,Junnu,No,2,"Pavlova is a meringue-based dessert. Originating in either Australia or New Zealand in the early 20th century, it was named after the Russian ballerina Anna Pavlova.","""Junnu"" is a traditional sweet dish from Telangana, India. Unlike Pavlova, which is a meringue-based dessert with uncertain origins between Australia and New Zealand, Junnu is made from reduced milk, rice flour, sugar, and cardamom, cooked until it thickens to a pudding-like consistency. The name ""Junnu"" comes from the Telugu language, where it means ""little child,"" referring to its creamy and smooth texture, which resembles baby food.","Junnu is a milk pudding dessert. Originating in India, it was likely named after the Telugu word for colostrum milk.","(i) Can you name a dessert that has a connection to ballet?
 (ii) Which dessert has a debated origin between Australia and New Zealand?
 (iii) What is an example of a meringue-based dessert?
 (iv) Which dessert is inspired by a type of milk? 
 (v) Can you recall a dessert named after a person?","(i) Can you name a dessert named after something well known?
(ii) Can you name a dessert whose origin is known?","(i) Can you name a dessert that is meringue-based and named after a Russian ballerina? 
(ii) Tell me about a milk pudding dessert that originated in India and was likely named after a Telugu word for colostrum milk.","(i) Can you name a dessert? 
(ii) Tell me about a dessert that is named after a word or a person?"
