Region,Category,Reference Location,Reference Entity,Target Location,Target Entity,High Cardinality,Hyperlocal Score,Reference Sentence,Target Sentence,Final Target Sentence,Common Questions,Correct Common Questions
US/Europe,Accidents,Boston,The Central Artery/Tunnel (Big dig),Uttarakhand,Silkyara Bend-Barkot tunnel,No,2,"On July 10, 2006, concrete ceiling panels and debris fell on a car traveling on the two-lane ramp connecting northbound I-93 to eastbound I-90 in South Boston, killing the passenger and injuring her husband, who was driving.","On June 12, 2021, rock and debris fell on a vehicle traveling through the single-lane Silkyara Bend-Barkot tunnel in Uttarakhand, causing the death of the driver and injuring the passenger.","On November 12, 2023, a section of Silkyara Bend–Barkot tunnel collapsed, trapping 41 construction workers, causing injury to the workers.","(i) What is an example of an incident involving falling debris on a roadway?
  (ii) Can you give an instance when infrastructure failure led to people being trapped or injured?","(i) Can you give an instance when infrastructure failure led to people getting injured?
(ii) Can you name an accident which occured due to infrastructure failure?"
US/Europe,Accidents,Ohio,Norfolk Southern train derailment,Andhra Pradesh,Vizianagaram train derailment,No,2,"A train derailment occurred on February 3, 2023, at 8:55 p.m. EST, when 38 cars of a Norfolk Southern freight train carrying hazardous materials derailed in East Palestine, Ohio, United States.","A train derailment occurred on February 3, 2023, at 8:55 p.m. IST, when 38 cars of a Vizianagaram freight train carrying hazardous materials derailed in Andhra Pradesh, India.","A train derailment occurred on October 29, 2023, around 07:00 p.m. IST, when the Visakhapatnam-Rayagada Passenger Special train hit the Visakhapatnam-Palasa Passenger Express on the Howrah-Chennai line, leading to the derailment between Kantakapalle and Alamanda railway stations, Andhra Pradesh, India","(i) When did a significant train derailment take place?
 (ii) Can you mention a specific instance when hazardous materials were involved in a train accident?
 (iii) Name an event where two trains collided and caused several cars to derail. | Correct Questions:
 (i) When is the last time a significant train derailment occurred?
 (ii) Can you recall an incident where a train was carrying hazardous materials and derailed?
 (iii) Can you mention a time when two trains crashed, causing multiple cars to derail? |",(i) Name an accident which occured due to train derailment?
Other,Accidents,Tokyo,Higashi-Ikebukuro runaway car crash,Mumbai,Salman khan hit & run case,Yes,3,"The Higashi-Ikebukuro runaway car crash was a traffic crash that occurred on April 19, 2019, in Higashi Ikebukuro, Toshima, Tokyo, resulting in 2 deaths and 9 injuries.","The Salman Khan hit and run case was a traffic accident that took place on September 28, 2002, in Bandra, Mumbai, resulting in the death of one person and injuries to four others.","The Salman Khan hit and run case was a traffic accident that occured on September 28, 2002, in Bandra, Mumbai, resulting in 1 death and 4 injuries.","(i) Can you mention a traffic crash that resulted in fatalities?
 (ii) Name an incident involving a vehicle collision that caused injuries?
 (iii) Tell me about a car accident that occurred in April 2019?","(i) Can you mention a traffic accident?
(ii) Can you mention a car accident that resulted in fatalities?"
Other,Accidents,Karamay,Karamay Fire 1994,Sirsa,Dabwali fire accident 1995,No,3,"The Karamay fire of 8 December 1994 at the Friendship Theatre in Karamay, Xinjiang, China, was among the most notorious fires in China.","The Dabwali fire accident of 22 December 1995 at the cinema hall in Sirsa, India, was one of the deadliest fire tragedies in the country.","The Dabwali fire accident of 23 December 1995 at the Rajiv Marriage Palace in Sirsa, Haryana, India, was one of the notorious fire in India.","(i) Can you provide an example of a notable fire accident that occurred in a theater?
 (ii) Can you name a country where a significant fire disaster happened in the mid-1990s?
 (iii) Can you mention a deadly fire incident that took place in a wedding venue?","(i) Can you provide an example of a notable fire accident that occurred in history?
"
US/Europe,Accidents,Italy,Seveso Disaster,Bhopal,Bhopal Gas Tragedy,No,3,"The Seveso disaster was an industrial accident that occurred around 12:37 pm on 10 July 1976, in a small chemical manufacturing plant approximately 20 kilometres north of Milan in the Lombardy region of Italy.","The Bhopal gas tragedy was an industrial disaster that took place at around 12:37 am on December 3, 1984, in a pesticide plant located in the heart of Bhopal, a city in the central Indian state of Madhya Pradesh.","The Bhopal gas tragedy was an industrial accident that occured aaround 11 pm on December 2, 1984, in a pesticide plant in Bhopal, Madhya Pradesh, India.","(i) Can you give an example of an industrial accident?
 (ii) What occurred around noon in Italy in July 1976?
 (iii) Can you name a major industrial accident that happened in a chemical plant?
 (iv) In which region did a significant industrial accident take place in 1976?
 Please note that the second question is specific to the time and date of the Seveso disaster, but I included it as it can be considered a general question since I'm not mentioning the name of the event. If you'd prefer, I can replace it with a more general question, such as (ii) Can you mention an industrial accident associated with a chemical plant?","(i) Can you give an example of an industrial accident?
"
Other,Accidents,Grafton,Grafton bus crash,Barabanki,Barabanki accident,Yes,3,"The Grafton bus crash killed 21 people and injured 22 on the Pacific Highway near Grafton, Australia on 20 October 1989 when a semi-trailer truck collided with a Sunliner Express coach operating an express service from Sydney to Brisbane.","The Barabanki accident resulted in the death of 21 people and injured 22 on the Grand Trunk Road near Barabanki, India on October 20, 1989, when a truck collided with a passenger bus operating an express service from New Delhi to Lucknow.","The Barabanki bus crash killed at least 18 people and injured 22 on the Lucknow-Ayodhaya highway near Barabanki, India on 27 July 2021, when a truck collided with a passenger bus enrouting labourers from Punjab-Haryana to Bihar.","(i) What was the unfortunate event that involved a bus crash and multiple fatalities?
 (ii) Can you mention a situation where a passenger bus collided with a truck, resulting in numerous casualties?","(i) What was the unfortunate bus accident?
(ii) Name an accident caused by a bus and truck collision which caused multiple fatalities?"
US/Europe,Accidents,New York,SS Norge 1904,Mumbai,1947 Ramdas ship disaster,No,3,"SS Norge was a transatlantic ocean liner that was launched in 1881 in Scotland, and lost in 1904 off Rockall with a great loss of life.","1947 Ramdas ship was a merchant vessel that was launched in [year of launch] in [country of launch], and met with a disastrous sinking off Mumbai in 1947, resulting in significant loss of life.","SS Ramdas ship was a coastal passenger ferry that was launched in 1936 in India, and capsized in 1947 off Mumbai with a great loss of life.","(i) Can you provide an example of a sea vessel that was launched in the 1800s?
 (ii) Can you give an instance of a ship that was lost at sea with significant casualties?","(i) Can you give an instance of an accident occurred in sea?
(ii) Name an accident which caused great loss of life."
Other,Accidents,Algeria,Air France Flight 406,India,KLM Lockheed 749 Constellation,Yes,1,"Air France Flight 406 was a Lockheed L-1649 Starliner that crashed in French Algeria on May 10, 1961, after a bomb exploded on board. All 78 passengers and crew on board were killed. It was the deadliest aviation disaster involving a Lockheed Starliner.","KLM Lockheed 749 Constellation, operating as flight KLM 867, was a aircraft that crashed in Indian airspace near Mumbai on June 23, 1953, after a mechanical failure. All 47 passengers and crew on board were killed. It was the deadliest aviation disaster involving a Lockheed Constellation in India at the time.","KLM Royal Dutch Airlines was a Lockheed L-749-79-33 Constellation that crashed in Bombay on July 12, 1949, after it struck a 674 feet high mist-shrouded hill. All 45 passengers and crew on board were killed.","(i) Can you name an aircraft that was involved in a disaster?
 (ii) What is an example of a flight incident that resulted in fatalities?
 (iii) Can you mention a plane crash where many people died?","(i) Can you name a Lockheed aircraft that was involved in a disaster?
(ii) Can you mention a plane crash where all the people on board died?"
US/Europe,Accidents,Czechoslovakia,Aeroflot Flight 141,India,Indian Airlines Flight 257,Yes,1,"Aeroflot Flight 141 was an international flight from Moscow to Prague. On 19 February 1973, the Tupolev Tu-154 crashed 1.5 kilometres short of runway 25 of Prague Ruzyně Airport.","Indian Airlines Flight 257 was a domestic flight from Mumbai to Kolkata. On 12th August 1982, the Boeing 737-2A8 crashed while approaching Dum Dum Airport (now Netaji Subhas Chandra Bose International Airport) in Kolkata, India, approximately 1.5 kilometers short of runway 01L.","Indian Airlines Flight 257 was a domestic flight from Calcutta to Dimapur. On 16 August 1991, the Boeing 737-2A8 crashed about 37 kilometers south-west of the Imphal airport into hilly terrain of Thangjing Hills, Manipur.","(i) Can you provide an example of a flight that crashed short of its destination runway?
 (ii) Tell me about an international flight that had an accident.
 (iii) Can you think of a domestic flight that was involved in an accident?","(i) Can you provide an example of a flight that crashed short of its destination runway?
(ii) Name an accident which occured long time ago."
US/Europe,Accidents,Buzau,Mihăilesti explosion 2004,Kerala,Chala LPG tanker disaster,No,2,"Mihăilesti is a commune in Buzău County, Muntenia, Romania. It is composed of four villages: ColÈ›Äƒneni, MÄƒrgineanu, Mihăilesti and Satu Nou . The Mihăilesti explosion took place there in 2004.","Chala is a village in Ernakulam district, Kerala, India. It is the site of the Chala LPG tanker disaster, which occurred in 2004. The disaster took place in the village, which is part of the larger area known as Chala.","Chala is a village in Kannaur district, Kerala, India. The Chala LPG tanker explosion took place there in 2012.","(i) Can you provide an example of a commune?
 (ii) Where might one find a village with a similar name to MihÄƒileÅŸti?
 (iii) In which country is a place called Chala located?","(i) Can you provide with an example of a place where a major explosion took place?
(ii) Can you name an accident caused due to explosion?"
