Head-Tail,Category,Reference Location,Reference Entity,Target Location,Target Entity,High Cardinality,Hyperlocal Score,Reference Sentence,Target Sentence,Final Target Sentence,Common Questions,Correct Common Questions,No. of words deleted,No. of words inserted,No. of words substituted,Edit distance,"BLEU Score btw target and final target sentence (Column J,K)",Evaluation using corrected questions (GPT3.5) (1/0) 
US/Europe,Accidents,Boston,The Central Artery/Tunnel (Big dig),Uttarakhand,Silkyara Bend-Barkot tunnel,No,2,"On July 10, 2006, concrete ceiling panels and debris fell on a car traveling on the two-lane ramp connecting northbound I-93 to eastbound I-90 in South Boston, killing the passenger and injuring her husband, who was driving.","On June 12, 2021, rock and debris fell on a vehicle traveling through the single-lane Silkyara Bend-Barkot tunnel in Uttarakhand, causing the death of the driver and injuring the passenger.","On November 12, 2023, a section of Silkyara Bend–Barkot tunnel collapsed, trapping 41 construction workers, causing injury to the workers.","(i) What is an example of an incident involving falling debris on a roadway?
  (ii) Can you give an instance when infrastructure failure led to people being trapped or injured?",(i) Can you give an instance when infrastructure failure led to people getting injured? (ii) Can you name an accident which occured due to infrastructure failure?,10,0,14,24,4.65E-155,
US/Europe,Accidents,Ohio,Norfolk Southern train derailment,Andhra Pradesh,Vizianagaram train derailment,No,2,"A train derailment occurred on February 3, 2023, at 8:55 p.m. EST, when 38 cars of a Norfolk Southern freight train carrying hazardous materials derailed in East Palestine, Ohio, United States.","A train derailment occurred on February 3, 2023, at 8:55 p.m. IST, when 38 cars of a Vizianagaram freight train carrying hazardous materials derailed in Andhra Pradesh, India.","A train derailment occurred on October 29, 2023, around 07:00 p.m. IST, when the Visakhapatnam-Rayagada Passenger Special train hit the Visakhapatnam-Palasa Passenger Express on the Howrah-Chennai line, leading to the derailment between Kantakapalle and Alamanda railway stations, Andhra Pradesh, India","(i) When did a significant train derailment take place?
 (ii) Can you mention a specific instance when hazardous materials were involved in a train accident?
 (iii) Name an event where two trains collided and caused several cars to derail. | Correct Questions:
 (i) When is the last time a significant train derailment occurred?
 (ii) Can you recall an incident where a train was carrying hazardous materials and derailed?
 (iii) Can you mention a time when two trains crashed, causing multiple cars to derail? |","(i) Can you mention a train accident?
 (ii) Name an accident which occured due to train derailment?",0,12,16,28,0.2020561935,
US/Europe,Actor/Actress,US,Angelina Jolie,Kerala,Manju Warrier,Yes,2,"Angelina Jolie is an American actress, filmmaker and humanitarian. The recipient of numerous accolades, including an Academy Award and three Golden Globe Awards, she has been named Hollywood's highest-paid actress multiple times.","Manju Warrier is a renowned Indian actress, predominantly working in the Malayalam film industry, based in Kerala. She has won numerous accolades for her acting skills, including four Kerala State Film Awards and a National Film Award. Often hailed as one of the finest actresses in the Malayalam cinema, Manju Warrier is a cultural icon in Kerala.","Manju Warrier is an Indian actress, She has won numerous accolades, including Kerala State Film Awards and won a special mention from the jury for the National Film Awards. She is hailed as one of the finest actresses in the Malayalam cinema. She is hailed as one of the finest and highest-paid actresses in the Malayalam cinema.","(i) Can you name an American actress who has received an Academy Award?
 (ii) Tell me about an individual who has been recognized as a high-earning actress.
 (iii) Who is an internationally acclaimed actress from India?",(i) Can you name an actress who has received many Awards? (ii) Tell me about an individual who has been recognized as a high-earning actress.,17,17,8,42,0.3517861043,
US/Europe,Actor/Actress,US,Dwayne Johnson,Kerala,Mohanlal,Yes,2,"Dwayne Douglas Johnson, also known by his ring name the Rock, is an American actor and professional wrestler currently signed to WWE.","Mohanlal, also known by his stage name ""Lalettan,"" is a renowned Indian actor and producer, predominantly working in the Malayalam film industry, based in Kerala.","Mohanlal, also known by his pet name ""Lalettan"", is an Indian actor and producer, currently working in the Malayalam film industry.","(i) Can you give an example of a person who is both an actor and a wrestler?
 (ii) Who is an American actor with a ring name?
 (iii) Name an individual who is well-known in the entertainment industry, having a unique nickname. |","(i) Can you give an example of an actor who professionally holds another title as well?
 (ii) Can you provide the name of an actor who is well-known in the entertainment industry by another name?",4,0,4,8,0.4519637669,
US/Europe,Actor/Actress,US,Robert Downey Jr,West Bengal,Prosenjit Chatterjee,Yes,2,"Robert John Downey Jr. is an American actor. His career has been characterized by critical success in his youth, followed by a period of substance abuse and legal troubles, and a surge in popular and commercial success later in his career.","Prosenjit Chatterjee is a renowned actor from West Bengal, India. His career has been marked by critical acclaim in his early years, followed by a period of personal challenges, and a resurgence in popularity and commercial success in later years.","Prosenjit Chatterjee is an Indian actor and producer. His career has been marked by critical acclaim and success in commercial films, he debuted in Parallel Cinema and since then have appeared in numerous art films.","(i) Can you name an American actor known for his successful career in movies?
 (ii) Who is a well-known Indian actor and film producer?
 (iii) Can you give an example of an actor who experienced ups and downs in his career but still made it big?","(i) Can you name an actor whose career has been characterized by critical success?
 (ii) Can you name an actor who have worked in commercial films?",5,0,22,27,0.2366865445,
Other,Actor/Actress,Kenya,Lupita Nyong'o,India,Priyanka Chopra,Yes,1,"Lupita Amondi Nyong'o is a Mexican-Kenyan actress. She is the recipient of several accolades, including an Academy Award and a Daytime Emmy Award with nominations for a Tony Award and a Golden Globe Award.","Priyanka Chopra is an Indian actress. She is the recipient of several accolades, including a National Film Award, five Filmfare Awards, and the Padma Shri, India's fourth-highest civilian honor. Additionally, she has been nominated for a People's Choice Award and a Screen Actors Guild Award.","Priyanka Chopra is an Indian actress and producer. She is the recipient of several accolades, including National Film Award, five Filmfare Awards and the Padma Shri Award.","(i) Can you name a Mexican-Kenyan actress who has won an Academy Award?
 (ii) Who is an Indian actress that has received a National Film Award as well as Filmfare Awards?
 (iii) Can you mention two international actresses recognized with prestigious awards?",(i) Can you name an actress who is recipient of several accolades? (ii) Can you name an actress?,20,2,0,22,0.3328944914,
Other,Actor/Actress,Japan,Hidetoshi Nishijima,India,Amitabh Bachchan,Yes,1,"Hidetoshi Nishijima is a Japanese actor model. He is widely regarded as one of Japan's leading actors, having appeared in a wide range of films from science fiction films such as Shin Ultraman to small-scale art films such as Dolls.","Amitabh Bachchan is an Indian actor and producer. He is widely regarded as one of India's leading actors, having appeared in a wide range of films from science fiction films such as ""Endhiran"" to small-scale art films such as ""Paa.""","Amitabh Bachchan is an Indian actor. He is widely regarded as one of India's leading actors, having appeared in a wide range of films from science fiction unreleased films such as ""Kalki 2898 AD"" to small-scale art films such as ""Paa.""","(i) Can you name a widely recognized actor from Japan?
 (ii) What type of films has the Japanese actor Hidetoshi Nishijima appeared in?
 (iii) Who are some of the leading actors in India and what kind of movies have they appeared in?",(i) Can you name an actor who is widely regarded as one of the country's leading actors? (ii) Name an actor who has appeared in a wide range of films.,2,3,1,6,0.8158395533,
Other,Actor/Actress,Brazil,Rodrigo Santoro,Karnataka,Sudeep,Yes,2,Rodrigo Junqueira Reis Santoro is a Brazilian actor. He is perhaps best known for his portrayal of Persian King Xerxes in the film 300 and its sequel 300: Rise of an Empire.,"Sudeep Sanjeev, also known as Sudeep, is an actor from Karnataka, India. He is best known for his work in Kannada cinema and has also appeared in a number of Hindi-language films. Some of his most notable roles include playing the antagonist in the Bollywood film ""Dabangg"" and starring in the successful Kannada film ""Kiccha Sudeepa.""",Sudeep is an Indian actor. He is perhaps best known for his portrayal of an antagonist in the film Eega and Dabangg 3.,"(i) Can you name a well-known actor from Brazil?
 (ii) Who is an actor recognized for playing a role in the film 300 and its sequel?
 (iii) Can you mention an Indian actor famous for his performance in the movie Eega?
 (iv) Who is an actor known for playing different types of roles in films like Eega and Dabangg 3?",(i) Can you name an actor best known for the roles portrayed by them? (ii) Can you name an actor?,35,2,5,42,0.0410352896,
Other,Actor/Actress,Malaysia,Syamsul Yusof,Tmil nadu,Karthick Naren,Yes,2,"Mohd Syamsul Mohd Yusof is a Malaysian actor, film director, writer, producer and singer. He is the son of producer and director Yusof Haslam.","Karthick Naren is a filmmaker from Tamil Nadu, known for his work as a director and writer in the Indian film industry. He is not related to any existing prominent figures in the industry, including veteran producer and director Haslam Yusuf.","Karthick Naren is an Indian film director, film producer, screenwriter, actor and YouTuber. He is the son of MNG Mani and Saradha Mani.","(i) Can you name a Malaysian individual who works in film?
 (ii) Who is a family member following in their parent's footsteps in the film industry?",(i) Give me a name of an actor who is also a film director? (ii) Give me a name of an actor who is also a producer?,18,0,15,33,1.97E-78,
Other,Actor/Actress,South Korea,Park Shin Hye,West Bengal,Koel Mallick,Yes,2,Park Shin-hye is a South Korean actress and singer. She gained recognition as a child actress on TV shows such as Stairway to Heaven and Tree of Heaven.,"Koel Mallick is a West Bengal-based actress and singer. She gained recognition as a child artist in Bangla cinema, appearing in popular films such as 'Stairway to Heaven' (Bengali adaptation) and 'Tree of Heaven' (Bangla version).",Koel Mallick is a West Bengal-based Indian actress. She gained recognition as an actress in Bangla films such as Nater Guru and Bandhan,"(i) Can you name a South Korean actress and singer?
 (ii) Who is an example of a child actor that later found success in television dramas?
 (iii) Can you think of an Indian actress known for her work in Bangla films?",(i) Can you gaive an example of an actress? (ii) Can you provide example of an actress who has gained recognition for her work?,14,1,5,20,0.1788444637,
US/Europe,Airlines,USA,American Airlines,India,Vistara,Yes,1,"American Airlines is a major US-based airline headquartered in Fort Worth, Texas, within the DallasÃ¢â‚¬â€œFort Worth metroplex. It is the largest airline in the world when measured by scheduled passengers carried, revenue passenger mile, and fleet size.","Vistara is a major Indian-based airline headquartered in Gurgaon, India. It is the largest airline in India when measured by scheduled domestic passengers carried, revenue passenger mile, and fleet size.","Vistara is a major Indian-based airline headquartered in Gurgaon, Haryana, India. It is the 2nd largest airline in India when measured by scheduled passengers carried, revenue passenger mile, and fleet size.","(i) Can you give an example of a major airline based in the United States?
 (ii) What is the measurement used to determine the largest airline in the world?
 (iii) Name a significant airline that operates within India. |",(i) Can you give an example of a major airline? (ii) Can you provide an example of one of the largest airline in the country?,1,2,0,3,0.8016231602,
Other,Airlines,Qatar,Qatar Airways,India,Air India,No,1,"Qatar Airways Company Q.C.S.C., operating as Qatar Airways, is the flag carrier of Qatar. Headquartered in the Qatar Airways Tower in Doha, the airline operates a hub-and-spoke network, flying to over 150 international destinations across Africa, Asia, Europe, the Americas, and Oceania from its base at Hamad International Airport, using a fleet of more than 200 aircraft.","Air India Ltd., operating as Air India, is the flag carrier of India. Headquartered in the Air India Building in New Delhi, the airline operates a hub-and-spoke network, flying to over 120 international destinations across Africa, Asia, Europe, the Americas, and Australasia from its base at Indira Gandhi International Airport, using a fleet of more than 140 aircraft.","Air India Ltd., operating as Air India, is the flag carrier of India. Headquartered in the National Capital Region in Gurugram, Haryana. the airline operates a hub-and-spoke network, flying to around 37 international destinations across Africa, Asia, Europe, North America and Oceania from its base at Indira Gandhi International Airport, using a fleet of around 128 aircraft.","(i) What is the name of a flag carrier airline?
 (ii) Can you mention an airline that operates a hub-and-spoke network?
 (iii) Approximately how many international destinations does one of these airlines fly to?
 (iv) From what airport does one of these flag carriers operate its flights?
 (v) Name the entity responsible for managing a fleet of over 100 aircraft.
 Note: I avoided specific questions related to number of destinations, exact fleet size or specific location details to make sure the questions are general enough and not bound to any location context.","(i) What is the name of a flag carrier airline?
 (ii) Can you mention an airline that operates a hub-and-spoke network?",1,0,12,13,0.6679230376,
Other,Airlines,Nigeria,Arik Air,India,IndiaOne Air,Yes,1,Arik Air is a Nigerian airline operating mainly from two hubs at Murtala Muhammed International Airport in Lagos and Nnamdi Azikiwe International Airport in Abuja. Arik Air's head office is the Arik Air Aviation Center on the grounds of Murtala Muhammed International Airport in Ikeja. It serves a network of regional and mid-haul destinations within Africa.,IndiaOne Air is an Indian airline primarily operating from two hubs at Indira Gandhi International Airport in Delhi and Chhatrapati Shivaji Maharaj International Airport in Mumbai. IndiaOne Air's head office is located in the IndiaOne Air Headquarters in New Delhi. It serves a network of regional and mid-haul destinations within Asia.,"IndiaOne Air is an Indian airline primarily operating from its hub at Biju Patnaik Airport, Bhubaneswar. IndiaOne Air's head office is located in Ahmedabad. Providing regional connectivity between tier 2 and 3 cities in India.","(i) Can you name a notable airline with multiple hubs?
  (ii) In which continent would you find an airline with its head office on the grounds of the main international airport in its headquarters city?",(i) Can you name an airline which provides regional connectivity? (ii) Can you name an airline?,16,0,16,32,0.2875440648,
US/Europe,Airlines,USA,Spirit Airlines,India,Indigo,Yes,1,"Spirit Airlines, Inc. is a major United States ultra-low cost airline headquartered in Miramar, Florida, in the Miami metropolitan area. Spirit operates scheduled flights throughout the United States, the Caribbean and Latin America.","IndiGo is a major Indian low-cost airline headquartered in Gurgaon, India. IndiGo operates scheduled flights throughout India as well as international destinations in the Middle East, Southeast Asia, and Europe.","IndiGo is a major Indian low-cost airline headquartered in Gurgaon, Haryana, India. IndiGo operates scheduled flights throughout India, Middle East, Asia, Southeast Asia, and Europe.","(i) What is the name of a major US-based ultra-low cost airline?
 (ii) In which continent does an airline headquartered in Miramar, Florida operate domestic and international flights?
 (iii) Can you name a low-cost airline that operates flights to several destinations in Asia?",(i) What is the name of a major low cost airline? (ii) Tell me the name of a low cost airline that schedule flights throughout the country.,7,2,0,9,0.6927859109,
